#{"t_start": 1767880711.5722404, "env_id": "None"}
r,l,t
30.0,30,0.153069
17.0,17,0.179333
11.0,11,0.194236
13.0,13,0.207918
11.0,11,0.219764
11.0,11,0.231372
25.0,25,0.256605
14.0,14,0.266511
12.0,12,0.271463
21.0,21,0.293309
10.0,10,0.300568
17.0,17,0.313126
11.0,11,0.321505
38.0,38,0.34691
26.0,26,0.365651
12.0,12,0.374007
14.0,14,0.386678
12.0,12,0.415571
10.0,10,0.430324
19.0,19,0.452489
8.0,8,0.462097
8.0,8,0.473931
12.0,12,0.488867
25.0,25,0.517606
9.0,9,0.528689
14.0,14,0.546256
18.0,18,0.572256
12.0,12,0.592774
10.0,10,0.606693
15.0,15,0.625705
20.0,20,0.652933
11.0,11,0.66945
24.0,24,0.702106
14.0,14,0.71482
12.0,12,0.723791
8.0,8,0.729741
9.0,9,0.733603
18.0,18,0.749883
39.0,39,0.778399
22.0,22,0.794645
12.0,12,0.802276
17.0,17,0.814654
8.0,8,0.821072
7.0,7,0.826029
14.0,14,0.836199
20.0,20,0.848861
31.0,31,0.870625
21.0,21,0.885607
24.0,24,0.901295
13.0,13,0.909257
8.0,8,0.914165
33.0,33,0.937994
10.0,10,0.947217
37.0,37,0.973013
20.0,20,0.988718
10.0,10,0.991735
19.0,19,1.01451
10.0,10,1.024444
15.0,15,1.037353
14.0,14,1.043209
16.0,16,1.05768
16.0,16,1.068046
24.0,24,1.084135
14.0,14,1.093208
10.0,10,1.100568
16.0,16,1.111356
12.0,12,1.119613
14.0,14,1.129596
43.0,43,1.159811
8.0,8,1.16543
18.0,18,1.177419
9.0,9,1.184052
20.0,20,1.197378
11.0,11,1.197378
26.0,26,1.224038
24.0,24,1.239796
9.0,9,1.247406
16.0,16,1.253761
16.0,16,1.270381
14.0,14,1.280358
16.0,16,1.293236
20.0,20,1.311257
11.0,11,1.321908
11.0,11,1.326099
46.0,46,1.361602
38.0,38,1.387793
18.0,18,1.40346
10.0,10,1.412245
13.0,13,1.421238
20.0,20,1.429313
26.0,26,1.452087
16.0,16,1.464031
18.0,18,1.476498
14.0,14,1.486533
41.0,41,1.507672
26.0,26,1.532057
13.0,13,1.542776
20.0,20,1.556576
22.0,22,1.572964
15.0,15,1.591089
8.0,8,1.601645
10.0,10,1.610777
13.0,13,1.621196
14.0,14,1.632005
18.0,18,1.645313
16.0,16,1.657116
15.0,15,1.668081
15.0,15,1.677941
17.0,17,1.687894
31.0,31,1.717155
16.0,16,1.732645
19.0,19,1.747291
13.0,13,1.756992
23.0,23,1.773501
17.0,17,1.786107
29.0,29,1.805959
18.0,18,1.820053
22.0,22,3.927338
29.0,29,3.961964
12.0,12,3.976039
20.0,20,3.999032
12.0,12,4.013806
11.0,11,4.026747
40.0,40,4.066218
19.0,19,4.091792
11.0,11,4.105186
45.0,45,4.156506
24.0,24,4.179407
24.0,24,4.198501
14.0,14,4.210245
16.0,16,4.222585
27.0,27,4.242194
28.0,28,4.262711
19.0,19,4.276702
29.0,29,4.297462
25.0,25,4.313603
39.0,39,4.340262
15.0,15,4.349097
32.0,32,4.373934
19.0,19,4.387784
16.0,16,4.399654
23.0,23,4.421733
9.0,9,4.431925
14.0,14,4.443523
16.0,16,4.453755
19.0,19,4.46757
15.0,15,4.477004
12.0,12,4.487533
121.0,121,4.574225
16.0,16,4.580222
32.0,32,4.609206
10.0,10,4.618481
11.0,11,4.627762
13.0,13,4.63874
21.0,21,4.653597
23.0,23,4.671458
34.0,34,4.695206
60.0,60,4.746737
30.0,30,4.760394
69.0,69,4.828227
23.0,23,4.846051
37.0,37,4.874908
16.0,16,4.88971
16.0,16,4.901629
14.0,14,4.911523
51.0,51,4.941289
14.0,14,4.96246
18.0,18,4.978008
33.0,33,5.000941
15.0,15,5.01254
16.0,16,5.02441
20.0,20,5.040618
32.0,32,5.06956
8.0,8,5.079171
40.0,40,5.108912
19.0,19,5.125235
37.0,37,5.155971
14.0,14,5.166365
23.0,23,5.183542
10.0,10,5.193259
43.0,43,5.246734
39.0,39,5.288309
10.0,10,5.304568
12.0,12,5.334426
15.0,15,5.364848
12.0,12,5.379784
20.0,20,5.402623
21.0,21,5.43403
21.0,21,5.458279
21.0,21,5.484726
29.0,29,5.52261
19.0,19,5.545409
28.0,28,5.582155
33.0,33,5.62066
41.0,41,5.665471
24.0,24,5.682201
9.0,9,5.689078
10.0,10,5.689078
22.0,22,5.711817
22.0,22,5.729782
29.0,29,5.751707
19.0,19,5.767299
51.0,51,7.769035
20.0,20,7.789747
59.0,59,7.859226
11.0,11,7.873303
18.0,18,7.888939
